season,, Guest_star,,  bday,, dday,, url
13,,Delroy Lindo,,1952,,-1,, http://en.wikipedia.org/wiki/Delroy_Lindo
13,,Dennis Weaver,,1924,,2006,, http://en.wikipedia.org/wiki/Dennis_Weaver
13,,Frances Sternhagen,,1930,,-1,, http://en.wikipedia.org/wiki/Frances_Sternhagen
13,,Frank Welker,,1946,,-1,, http://en.wikipedia.org/wiki/Frank_Welker
13,,James Lipton,,1926,,-1,, http://en.wikipedia.org/wiki/James_Lipton
13,,Jess Harnell,,1963,,-1,, http://en.wikipedia.org/wiki/Jess_Harnell
13,,Judith Owen,,-1,,-1,, http://en.wikipedia.org/wiki/Judith_Owen
13,,Julia Louis-Dreyfus,,1961,,-1,, http://en.wikipedia.org/wiki/Julia_Louis-Dreyfus
13,,Matthew Perry,,1969,,-1,, http://en.wikipedia.org/wiki/Matthew_Perry
13,,Olympia Dukakis,,-1,,-1,, http://en.wikipedia.org/wiki/Olympia_Dukakis
13,,Paul Newman,,1925,,2008,, http://en.wikipedia.org/wiki/Paul_Newman
13,,Phish[Q],,-1,,-1,, http://en.wikipedia.org/wiki/Phish
13,,Pierce Brosnan,,1953,,-1,, http://en.wikipedia.org/wiki/Pierce_Brosnan
13,,R.E.M.[P],,-1,,-1,, http://en.wikipedia.org/wiki/R.E.M.
13,,Reese Witherspoon,,1976,,-1,, http://en.wikipedia.org/wiki/Reese_Witherspoon
13,,Richard Gere,,1949,,-1,, http://en.wikipedia.org/wiki/Richard_Gere
13,,Robert Pinsky,,1940,,-1,, http://en.wikipedia.org/wiki/Robert_Pinsky
13,,Stan Lee,,1922,,-1,, http://en.wikipedia.org/wiki/Stan_Lee
13,,Wolfgang Puck,,1949,,-1,, http://en.wikipedia.org/wiki/Wolfgang_Puck
14,,"Weird Al" Yankovic,,1959,,-1,, http://en.wikipedia.org/wiki/%22Weird_Al%22_Yankovic
14,,Adam West,,1928,,-1,, http://en.wikipedia.org/wiki/Adam_West
14,,Andy Serkis,,1964,,-1,, http://en.wikipedia.org/wiki/Andy_Serkis
14,,Blink-182[S],,-1,,-1,, http://en.wikipedia.org/wiki/Blink-182
14,,Brian Setzer,,1959,,-1,, http://en.wikipedia.org/wiki/Brian_Setzer
14,,Burt Ward,,1945,,-1,, http://en.wikipedia.org/wiki/Burt_Ward
14,,David Byrne,,1952,,-1,, http://en.wikipedia.org/wiki/David_Byrne
14,,David Lander,,1947,,-1,, http://en.wikipedia.org/wiki/David_Lander
14,,Elliott Gould,,1938,,-1,, http://en.wikipedia.org/wiki/Elliott_Gould
14,,Elvis Costello,,1954,,-1,, http://en.wikipedia.org/wiki/Elvis_Costello
14,,Eric Idle,,1943,,-1,, http://en.wikipedia.org/wiki/Eric_Idle
14,,George Plimpton,,1927,,2003,, http://en.wikipedia.org/wiki/George_Plimpton
14,,Helen Fielding,,1958,,-1,, http://en.wikipedia.org/wiki/Helen_Fielding
14,,Jackson Browne,,1948,,-1,, http://en.wikipedia.org/wiki/Jackson_Browne
